FID	IID	PRS_inf	PRS_grid
0	HG03265	0.00362738816459972	-0.0427464049610165
0	HG03267	-0.0231725684859485	-0.0950999836375667
0	HG03268	-0.0177417884889265	-0.102811556657392
0	HG03270	0.0105161903469888	-0.0593334265650971
0	HG03271	0.00734969402297605	-0.0620614823541972
0	HG03279	-0.00870692657217289	-0.0673526904702291
0	HG03280	-0.00358408886162339	0.0279617769644851
0	HG03291	0.029394506518808	0.0593683608191437
0	HG03294	0.00472235173427272	-0.0370290314605783
0	HG03295	0.0315826767662119	0.0235303537516171
0	HG03297	0.0451371207784411	0.0249652379503395
0	HG03298	0.0119963941146148	-0.0140200681684619
0	HG03300	0.00611861022061636	0.00107418241048381
0	HG03301	-0.0165513976892093	-0.0257585162481782
0	HG03303	0.0117759048971185	-0.0238869340578084
0	HG03304	-0.0139234145576867	-0.027872390608652
0	HG03311	0.0253802538879827	-0.0188729106933634
0	HG03313	-0.0525604844493832	-0.0735010282952955
0	HG03342	0.00368425467691352	-0.0247404384433327
0	HG03343	0.0275126815203814	-0.0699983930128815
0	HG03351	-0.0357204205692574	-0.0816318180266261
0	HG03352	-0.00137767259112105	0.0108114837105606
0	HG03354	-0.0545712759588077	-0.0303524185615802
0	HG03363	0.0394568462619229	-0.0426271478005149
0	HG03366	0.0126287882409237	0.0743542468553208
0	HG03367	0.000415549954645575	-0.0615155123339074
0	HG03369	-0.0259640317635985	-0.0253862676519287
0	HG03370	-0.0262923381331455	-0.0185172224610136
0	HG03372	-0.045257343121116	-0.0190145166603988
0	HG03376	0.0365556806658647	0.0662195614367701
0	HG03378	0.00182730653518509	-0.0330018504254191
0	HG03380	0.00474436903941674	-0.0719474167490129
0	HG03382	-0.0178464694595467	-0.0110845061848962
0	HG03385	-0.0125305889301901	-0.0931608165222826
0	HG03388	0.00166847977953419	0.00753021811913935
0	HG03391	0.0395329345948842	-0.0674034382124354
0	HG03394	0.0736865072690988	0.0305003259380837
0	HG03397	-0.0373213786387298	-0.00792420981417881
0	HG03401	-0.0432839855518618	0.00144763646578312
0	HG03410	0.0918232959761853	-0.019619987286692
0	HG03419	-0.0306586087747915	-0.0194762571926762
0	HG03428	-0.00856480671394304	0.00688568704850278
0	HG03432	-0.060835603645619	-0.0282323641727311
0	HG03433	-0.0354158847791046	-0.0683557726266879
0	HG03436	0.00612599011022671	0.00984283437444601
0	HG03437	-0.00916546634057181	-0.0855915498701367
0	HG03439	0.0246458347502127	-0.0440937057752426
0	HG03442	-0.0346061023777061	-0.0694631047354484
0	HG03445	-0.0317354367055913	0.0507804659389556
0	HG03446	-0.005719802334153	-0.0599474341524482
0	HG03449	-0.0466512773214985	0.0103950300381911
0	HG03452	-0.055919193007306	0.0335153519509131
0	HG03455	-0.0207332227481931	-0.0353561389874638
0	HG03457	-0.0125957324130072	0.00206302527202679
0	HG03458	-0.0288389704347607	0.0341974973455328
